"Código";"Município";"Municipio";"Área_km_";"Densidade_demográfica_2000";"Distância_à_capital_km_";"Esperança_de_vida_ao_nascer_2000";"Mortalidade_até_um_ano_de_idade_2000";"Taxa_de_fecundidade_total_2000";"Percentual_de_pessoas_de_25_anos_ou_mais_analfabetas_2000";"Renda_per_Capita_2000";"Índice_de_Gini_2000";"Intensidade_da_indigência_2000";"Intensidade_da_pobreza_2000";"Índice_de_Desenvolvimento_Humano_Municipal_2000";"Taxa_bruta_de_freqüência_à_escola_2000";"Taxa_de_alfabetização_2000";"Média_de_anos_de_estudo_das_pessoas_de_25_anos_ou_mais_de_idade_2000";"População_de_25_anos_ou_mais_de_idade_1991";"População_de_25_anos_ou_mais_de_idade_2000";"População_de_65_anos_ou_mais_de_idade_1991";"População_de_65_anos_ou_mais_de_idade_2000";"População_total_1991";"População_total_2000";"População_urbana_2000";"População_rural_2000"
"93";310170;"Almenara (MG)";"Almenara";2308.6;15.3;530.80818;64.69;47.21;2.42;40.27;162.67;0.68;39.95;47.96;0.668;77.25;69.34;3.62;14066;17077;1765;2474;33678;35385;27770;7615
"94";240060;"Almino Afonso (RN)";"Almino Afonso";132.4;39;285.361134;66.21;45.46;2.32;39.72;84.52;0.61;62.54;60.15;0.64;81.09;67.55;4.12;2354;2547;351;392;5698;5195;3375;1820
"95";410040;"Almirante Tamandaré (PR)";"Almirante Tamandaré";266.6;330.6;12.0331;66.1;28;2.93;13.18;197.65;0.48;61.25;43.82;0.728;73.51;89.94;5.01;22836;40519;1429;2641;55438;88277;84755;3522
"96";520050;"Aloândia (GO)";"Aloândia";102.5;20.8;119.007772;68.58;24.95;2.51;22.44;226.05;0.56;40.58;33.6;0.743;85.51;81.14;4.25;1040;1266;161;219;1992;2128;1735;393
"97";310180;"Alpercata (MG)";"Alpercata";167.9;41.5;228.262939;69.79;29.31;2.35;28.8;148.05;0.54;36.78;41.92;0.702;69.77;78.12;3.6;2952;3440;442;538;6752;6966;5312;1654
"98";430050;"Alpestre (RS)";"Alpestre";324.9;31.6;355.916753;67.12;28.68;2.47;16.69;140.08;0.58;44.56;52.34;0.714;81.56;85.68;3.92;5952;5438;581;746;13567;10266;2157;8109
"99";310190;"Alpinópolis (MG)";"Alpinópolis";461.5;36.9;278.818247;73.6;18.79;2.36;13.59;239.83;0.49;31.97;30.37;0.779;72.97;89.38;4.79;6815;9000;804;1126;13964;17031;13551;3480
"100";510025;"Alta Floresta (MT)";"Alta Floresta";8982.8;5.2;635.607517;70.2;24.81;2.58;15.68;264.66;0.59;48.08;34.13;0.779;87.47;88.14;4.89;17222;22810;791;1651;42201;46982;37287;9695
"101";110001;"Alta Floresta d'Oeste (RO)";"Alta Floresta d'Oeste";7111.8;3.7;415.523881;66.9;28.36;3.11;20.24;188.27;0.58;54.47;46.69;0.715;71.72;84.16;3.77;8872;11804;428;890;23546;26533;12341;14192
"102";350090;"Altair (SP)";"Altair";317;11.2;418.543775;73.53;11.83;2.64;16.29;225.66;0.5;61.96;36.48;0.766;72.65;85.28;4.68;1520;1808;169;201;3239;3530;2550;980
"103";150060;"Altamira (PA)";"Altamira";161445.9;0.5;454.548687;70.09;27.56;3.03;22.75;205;0.58;41.05;40.86;0.737;75.82;81.6;4.62;24617;32283;1460;2673;65941;77439;62285;15154
"104";210040;"Altamira do Maranhão (MA)";"Altamira do Maranhão";220.2;48;223.082286;60.23;60.54;4.06;47;52.73;0.53;57.19;61.17;0.567;81.59;61;2.59;2667;3470;308;459;7557;8865;2894;5971
"105";410045;"Altamira do Paraná (PR)";"Altamira do Paraná";386.3;18.1;353.116048;67.53;24.31;2.66;32.5;122.75;0.62;45.3;52.04;0.677;70.7;76.67;3.18;2920;3405;235;368;7437;6999;2119;4880
"106";230060;"Altaneira (CE)";"Altaneira";87.1;65.2;388.340271;60.79;70.03;3.7;52.26;70.93;0.63;60.87;64.9;0.576;77.5;58.27;2.19;2071;2696;399;515;4806;5687;3787;1900
"107";410050;"Altãnia (PR)";"Altãnia";889.2;21.6;498.326701;70.15;18.36;2.05;20.76;185.52;0.53;39.08;35.68;0.743;82.81;83.23;4.3;12018;11026;1251;1644;24589;19230;11704;7526
